link,name,hall_of_fame,active_player,years_played,career_batting_average,career_hits,career_HRs,career_WAR,career_RBIs,career_runs,career_OBP,career_SLG,career_OPS,world_series_wins,golden_glove_awards,mvps,career_hitting_titles,silver_slugger_awards,all_star_apps
http://www.baseball-reference.com/players/a/allenne02.shtml,Newt Allen,False,False,19,.289,1029,21,20.4,470,595,.348,.376,.724,2,0,0,0,0,5
http://www.baseball-reference.com/players/a/allenni01.shtml,Nick Allen,False,False,6,.232,116,0,-0.2,36,41,.288,.278,.566,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allenpe01.shtml,Pete Allen,False,False,1,.000,0,0,-0.2,0,0,.000,.000,.000,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allenro02.shtml,Rod Allen,False,False,3,.220,11,0,-0.4,3,8,.264,.260,.524,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allenro01.shtml,Ron Allen,False,False,1,.091,1,1,-0.2,1,2,.286,.364,.649,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allensl01.shtml,Sled Allen,False,False,1,.130,3,0,-0.5,1,3,.231,.174,.405,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allento02.shtml,Todd Allen,False,False,1,.500,5,0,0.0,1,2,.500,.600,1.100,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allento01.shtml,Toussaint Allen,False,False,5,.189,60,4,-2.4,28,36,.231,.262,.492,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allenga01.shtml,Gary Allenson,False,False,7,.221,235,19,1.3,131,114,.307,.325,.632,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allenje01.shtml,Jermaine Allensworth,False,False,4,.260,268,15,-0.1,114,155,.339,.367,.705,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/alleyge01.shtml,Gene Alley,False,False,11,.254,999,55,24.1,342,442,.310,.354,.665,1,2,0,0,0,2
http://www.baseball-reference.com/players/a/alliega01.shtml,Gair Allie,False,False,1,.199,83,3,-1.4,30,38,.294,.268,.562,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/alliebo01.shtml,Bob Allietta,False,False,1,.178,8,1,-0.2,2,4,.196,.267,.462,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allisan01.shtml,Andy Allison,False,False,1,.163,15,0,-0.5,10,9,.172,.185,.357,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allisar01.shtml,Art Allison,False,False,5,.254,188,1,0.2,70,106,.259,.305,.564,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allisbi01.shtml,Bill Allison,False,False,1,.143,3,0,-0.1,1,5,.143,.143,.286,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allisbo01.shtml,Bob Allison,False,False,13,.255,1281,256,34.1,796,811,.358,.471,.829,0,0,0,0,0,3
